lang_name	keep_rows
mwl_Latn	83967
und_Diak	68418
tat_Latn	81260
grn_Latn	81994
mui_Latn	79139
hin_Latn	77143
mvf_Mong	70427
udm_Cyrl	75222
mzn_Arab	72131
und_Marc	67800
und_Talu	65754
und_Vith	65142
bcl_Latn	70457
und_Nagm	63572
und_Mani	65940
ban_Latn	70055
und_Mlym	58978
afb_Arab	61990
und_Java	58521
cnh_Latn	65675
und_Ahom	60214
cbk_Latn	60119
kaa_Latn	61847
tyv_Cyrl	63103
kur_Arab	56418
ful_Latn	53792
und_Beng	54181
zea_Latn	60735
frp_Latn	57972
frr_Latn	55114
pfl_Latn	51892
lij_Latn	53397
apc_Arab	51274
mai_Deva	52579
und_Wara	46804
und_Palm	48994
pon_Latn	49134
bak_Latn	42407
eml_Latn	46134
uzs_Arab	45920
nde_Latn	44632
hil_Latn	45213
mam_Latn	45462
gom_Latn	45419
dag_Latn	40538
nap_Latn	41217
bjn_Latn	41994
und_Khoj	39854
hbo_Hebr	39761
tet_Latn	40816
inh_Cyrl	40204
ven_Latn	41238
gaz_Latn	40698
tpi_Latn	40586
und_Sidd	34753
ajp_Arab	37428
sat_Olck	39623
wuu_Hani	36438
bam_Latn	38066
vep_Latn	38512
glv_Latn	38448
tzo_Latn	38607
bik_Latn	37637
und_Rohg	35210
acr_Latn	35673
twi_Latn	37805
myv_Cyrl	36593
ewe_Latn	37020
poh_Latn	35582
und_Avst	32162
ile_Latn	35514
rue_Cyrl	35072
und_Ougr	32342
und_Wcho	31939
ace_Latn	36012
kha_Latn	34496
und_Yezi	33923
und_Ital	32065
und_Kthi	31065
und_Takr	30701
ksh_Latn	32305
hui_Latn	32666
gor_Latn	31302
krc_Cyrl	32684
lfn_Latn	31799
tls_Latn	29613
fur_Latn	32091
und_Tavt	30945
gag_Latn	31258
chk_Latn	30741
hmo_Latn	30343
kek_Latn	30411
fon_Latn	29709
ssw_Latn	30012
quh_Latn	28826
meu_Latn	28594
csb_Latn	29196
ksd_Latn	28462
ext_Latn	27668
rop_Latn	27540
und_Tfng	27355
aln_Latn	26646
kab_Latn	28035
shn_Mymr	28217
tbz_Latn	27913
knv_Latn	26665
bqc_Latn	27370
und_Elba	24862
und_Zanb	24457
npi_Deva	26320
rug_Latn	25866
und_Tale	26174
kom_Cyrl	25800
kpg_Latn	25588
kbd_Cyrl	26073
dzo_Tibt	24930
wal_Latn	25721
zlm_Latn	20519
und_Soyo	22207
mzh_Latn	23500
pan_Latn	23499
hac_Arab	23894
und_Sogo	22286
tum_Latn	23369
sgs_Latn	23067
fij_Latn	23954
tuc_Latn	23670
und_Dogr	21286
und_Kawi	20279
jbo_Latn	22173
iba_Latn	22540
pcd_Latn	21506
kjh_Cyrl	21301
ixl_Latn	19330
und_Phli	19162
und_Cham	17917
und_Guru	18064
ndo_Latn	18648
suz_Deva	18616
und_Nbat	17611
und_Nand	17389
mfe_Latn	16480
bxr_Cyrl	18206
ava_Cyrl	18167
und_Osma	16975
bho_Deva	17315
brh_Arab	17461
und_Sind	14810
ctd_Latn	17146
aym_Latn	16583
ady_Cyrl	16359
nbl_Latn	16112
gom_Deva	16447
hus_Latn	16480
gug_Latn	15148
und_Pauc	13226
und_Sogd	14515
bat_Latn	15407
guj_Deva	14742
hne_Deva	14754
srn_Latn	14688
ctu_Latn	14907
san_Latn	14408
ton_Latn	14442
bug_Latn	13294
aoj_Latn	13950
jam_Latn	13418
und_Sylo	12417
lez_Cyrl	13694
xav_Latn	13685
luo_Latn	13435
ltg_Latn	13945
bih_Deva	12955
uig_Cyrl	13089
mrj_Cyrl	13282
avk_Latn	12268
kos_Latn	13231
kbp_Latn	12917
alt_Cyrl	12874
cfm_Latn	12560
goh_Latn	11236
lad_Latn	11615
und_Rjng	10296
cor_Latn	11233
quc_Latn	11178
und_Goth	10949
kpv_Cyrl	10379
und_Chrs	10239
aka_Latn	10332
und_Phlp	9083
hak_Latn	10124
rmn_Latn	10203
pls_Latn	9497
sag_Latn	9583
min_Arab	8713
und_Tglg	8582
rcf_Latn	9696
som_Arab	9235
gym_Latn	9590
und_Mand	8727
kik_Latn	9164
pag_Latn	9121
arn_Latn	9145
und_Shaw	8406
ngu_Latn	8913
dsb_Latn	8851
tca_Latn	9010
mni_Mtei	8768
naq_Latn	7914
pdc_Latn	8230
mps_Latn	8131
und_Hatr	7438
olo_Latn	8359
fro_Latn	8283
fit_Latn	8205
crh_Cyrl	8166
cdo_Latn	7366
kac_Latn	8238
mdf_Cyrl	7968
mad_Latn	7778
cab_Latn	7983
srm_Latn	8017
toj_Latn	8037
zai_Latn	7610
guc_Latn	8021
smn_Latn	7747
ote_Latn	7542
nch_Latn	7265
und_Bugi	7013
prs_Arab	7203
tuk_Arab	7353
bis_Latn	7625
cuk_Latn	7619
bzj_Latn	7621
map_Latn	6873
djk_Latn	7551
ncj_Latn	7093
und_Olck	6177
mco_Latn	7064
shp_Latn	7193
und_Tagb	6579
ang_Latn	6755
seh_Latn	6989
ikk_Latn	6619
qvi_Latn	6969
yom_Latn	6507
top_Latn	6569
awa_Deva	6720
ike_Cans	6917
mau_Latn	6237
kum_Cyrl	6786
mos_Latn	6368
tly_Latn	6482
und_Prti	6054
ayr_Latn	6289
tdt_Latn	6025
yap_Latn	6108
evn_Cyrl	5486
tah_Latn	5808
xal_Cyrl	5763
szy_Latn	5806
quw_Latn	5343
stq_Latn	5577
tlh_Latn	5528
otq_Latn	5272
und_Narb	5224
nov_Latn	5378
skr_Arab	5396
yua_Latn	5313
raw_Latn	5184
und_Sarb	4990
fiu_Latn	5276
enm_Latn	4840
bbc_Latn	5114
und_Lydi	4591
non_Latn	5208
und_Ugar	4848
ber_Latn	5014
kea_Latn	4788
uig_Latn	4713
bua_Cyrl	4821
kua_Latn	4850
zza_Latn	4632
csy_Latn	4554
mnw_Mymr	4625
dtp_Latn	4454
nah_Latn	4317
yao_Latn	4181
azj_Cyrl	4407
hau_Arab	3729
nog_Cyrl	4319
abt_Latn	4090
meo_Latn	4209
ame_Latn	3914
mbf_Latn	4128
chm_Cyrl	4167
arb_Latn	3940
kas_Arab	4135
tam_Latn	3925
crs_Latn	3842
tcy_Knda	4031
lbe_Cyrl	3823
cni_Latn	3574
ben_Latn	3418
rom_Latn	3686
zom_Latn	3735
blk_Mymr	3405
efi_Latn	3484
ada_Latn	3254
und_Buhd	3158
koi_Cyrl	3276
und_Perm	2874
bbj_Latn	3039
trv_Latn	3079
ach_Latn	3157
mgh_Latn	3062
kas_Latn	2887
gcr_Latn	2904
krl_Latn	3008
iso_Latn	2945
lki_Arab	2646
atj_Latn	2822
cmo_Latn	2711
chu_Cyrl	2738
gur_Latn	2767
mni_Beng	2784
iku_Cans	2718
sma_Latn	2764
lrc_Arab	2599
gos_Latn	2687
dty_Deva	2689
nzi_Latn	2681
btx_Latn	2705
brx_Deva	2720
