English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Southwestern Logudorese;0;sout2614;src;0;0;0;0;0;0;Unknow
Oscan;0;osca1245;0;osc;0;0;0;I;A;Unknow
Old Sabellic;0;sabe1248;0;0;0;0;0;0;0;Unknow
Umbrian;0;umbr1253;0;xum;0;0;0;I;A;Unknow
Hernican;0;hemi1234;0;xhr;0;0;0;I;A;Unknow
Marrucinian;0;marr1267;osc;umc;0;0;0;I;A;Unknow
Nuclear Oscan;0;nucl1778;osc;0;0;0;0;0;0;Unknow
Paelignian;0;pael1234;osc;pgn;0;0;0;I;A;Unknow
Vestinian;0;vest1239;osc;xvs;0;0;0;I;A;Unknow
Pre-Samnite;0;pres1240;qhr;0;0;0;0;0;0;Unknow
Sabine;0;sabi1245;0;sbv;0;0;0;I;A;Unknow
South Picene;0;sout2618;0;spx;0;0;0;I;A;Unknow
Aequian;0;aequ1239;xum;xae;0;0;0;I;A;Unknow
Marsian;0;mars1253;xum;ims;0;0;0;I;A;Unknow
Nuclear Umbrian;0;nucl1779;xum;0;0;0;0;0;0;Unknow
Volscian;0;vols1237;0;xvo;0;0;0;I;A;Unknow
Tokharian A;0;tokh1242;0;xto;0;0;0;I;A;Unknow
Tokharian B;0;tokh1243;0;txb;0;0;0;I;A;Unknow
Dacian;0;daci1234;0;xdc;0;0;0;I;A;Unknow
Lusitanian;0;lusi1235;0;xls;0;0;0;I;A;Unknow
Messapic;0;mess1244;0;cms;0;0;0;I;A;Unknow
Thracian;0;thra1250;0;txh;0;0;0;I;A;Unknow
Irántxe;0;iran1264;irn;irn;0;0;0;I;L;Unknow
Münkü;0;munk1243;irn;0;0;0;0;0;0;Unknow
Northern Iroquoian;0;nort2947;0;0;0;0;0;0;0;Unknow
Elati;0;elat1241;chr;0;0;0;0;0;0;Unknow
Kituhwa;0;kitu1247;chr;0;0;0;0;0;0;Unknow
Otali;0;otal1238;chr;0;0;0;0;0;0;Unknow
Overhill-Middle Cherokee;0;over1238;chr;0;0;0;0;0;0;Unknow
Laurentian;0;laur1250;0;lre;0;0;0;I;E;Unknow
Mohawk-Oneida;0;moha1257;0;0;0;0;0;0;0;Unknow
Susquehannock;0;susq1241;0;sqn;0;0;0;I;E;Unknow
Tuscarora-Nottoway;0;tusc1256;0;0;0;0;0;0;0;Unknow
Huron-Wyandot;0;wyan1247;0;0;0;0;0;0;0;Unknow
Nottoway;0;nott1246;0;ntw;0;0;0;I;E;Unknow
Petun-Wyandot;0;petu1234;0;0;0;0;0;0;0;Unknow
Wendat;0;wend1234;0;wdt;0;0;0;I;L;Unknow
Petun;0;petu1235;wyn;0;0;0;0;0;0;Unknow
Cord Huron;0;cord1234;wdt;0;0;0;0;0;0;Unknow
Lorette Huron;0;huro1249;wdt;0;0;0;0;0;0;Unknow
Northern Bear Huron;0;nort3303;wdt;0;0;0;0;0;0;Unknow
Rock Huron;0;rock1235;wdt;0;0;0;0;0;0;Unknow
Southern Bear Huron;0;sout3287;wdt;0;0;0;0;0;0;Unknow
Amurdak;0;amar1271;0;amg;0;0;0;I;L;Unknow
Central Iwaidjic;0;cent2228;0;0;0;0;0;0;0;Unknow
Mawng;0;maun1240;0;0;0;0;0;0;0;Unknow
Garig-Ilgar;0;gari1253;0;ilg;0;0;0;I;E;Unknow
Iwaidja;0;iwai1244;0;ibd;0;0;0;I;L;<10K
Garig;0;gari1254;ilg;0;0;0;0;0;0;Unknow
Ilgar;0;ilga1238;ilg;0;0;0;0;0;0;Unknow
Iwaydja;0;iway1238;ibd;0;0;0;0;0;0;Unknow
Hachijo;0;hach1239;0;0;0;0;0;0;0;Unknow
Japanesic;0;japa1256;0;0;0;0;0;0;0;Unknow
Ryukyuan;0;ryuk1243;0;0;0;0;0;0;0;Unknow
Japan-Taiwan Japanese;0;japa1258;0;0;0;0;0;0;0;Unknow
Old Japanese;0;oldj1239;0;ojp;0;0;0;I;H;Unknow
Yilan Creole Japanese;0;yila1234;0;0;0;0;0;0;0;Unknow
Eastern Japanese;0;east2526;jpn;0;0;0;0;0;0;Unknow
Kyūshū;0;kyus1238;jpn;0;0;0;0;0;0;Unknow
Western Japanese;0;west2607;jpn;0;0;0;0;0;0;Unknow
Hokkaidō;0;hokk1249;jpn;0;0;0;0;0;0;Unknow
Kantō;0;kant1251;jpn;0;0;0;0;0;0;Unknow
Tōhoku;0;toho1244;jpn;0;0;0;0;0;0;Unknow
Tōkai-Tōsan;0;toka1245;jpn;0;0;0;0;0;0;Unknow
Eastern Kantō;0;east2527;jpn;0;0;0;0;0;0;Unknow
Western Kantō;0;west2608;jpn;0;0;0;0;0;0;Unknow
Chiba;0;chib1248;jpn;0;0;0;0;0;0;Unknow
Ibaraki;0;ibar1242;jpn;0;0;0;0;0;0;Unknow
Tochigi;0;toch1258;jpn;0;0;0;0;0;0;Unknow
Bōshū;0;bosh1242;jpn;0;0;0;0;0;0;Unknow
Chichibu;0;chic1269;jpn;0;0;0;0;0;0;Unknow
Gunma;0;gunm1237;jpn;0;0;0;0;0;0;Unknow
Kanagawa;0;kana1290;jpn;0;0;0;0;0;0;Unknow
Tama (Japonic);0;tama1337;jpn;0;0;0;0;0;0;Unknow
Tōkyō;0;toky1238;jpn;0;0;0;0;0;0;Unknow
Hyōjungo;0;hyoj1237;0;0;0;0;0;0;0;Unknow
Shitamachi;0;shit1242;0;0;0;0;0;0;0;Unknow
